section,claim,value,output_file,status
age,December 2025 methodology share,96.2,decay_curves.txt,OK
age,number of adjacent release pairs,13,decay_curves.txt,OK
limitations,priceable firms in the 2026 arm,173,vintage_return_spread.txt,OK
limitations,largest t statistic,0.60,vintage_return_spread.txt,OK
limitations,"Newey-West SE, low",3.29%,vintage_return_spread.txt,OK
limitations,"Newey-West SE, high",3.44%,vintage_return_spread.txt,OK
limitations,MDE at t=3.0,9.87%,vintage_return_spread.txt,OK
limitations,Fama-MacBeth requirement,"1,296",power_comparison.txt,OK
appendix B,"build-out, new entity brought into coverage","6,183",change_decomposition.txt,OK
appendix B,"build-out, new entity, share",48.6%,change_decomposition.txt,OK
appendix B,"build-out, new link between covered entities","1,744",change_decomposition.txt,OK
appendix B,"build-out, new link, share",13.7%,change_decomposition.txt,OK
appendix B,"build-out, blank filled by research",208,change_decomposition.txt,OK
appendix B,"build-out, blank filled by research, share",1.6%,change_decomposition.txt,OK
appendix B,build-out total,"8,135",change_decomposition.txt,OK
appendix B,"build-out total, share",64.0%,change_decomposition.txt,OK
appendix B,"restatement, link removed","1,710",change_decomposition.txt,OK
appendix B,"restatement, link removed, share",13.4%,change_decomposition.txt,OK
appendix B,"restatement, share revised material",533,change_decomposition.txt,OK
appendix B,"restatement, share revised material, share",4.2%,change_decomposition.txt,OK
appendix B,"restatement, share revised small",300,change_decomposition.txt,OK
appendix B,"restatement, share revised small, share",2.4%,change_decomposition.txt,OK
appendix B,"restatement total, share",20.0%,change_decomposition.txt,OK
appendix B,"methodology, imputation rule introduced after Mar 2025","1,842",change_decomposition.txt,OK
appendix B,"methodology, imputation rule, share",14.5%,change_decomposition.txt,OK
appendix B,"methodology, entity deduplicated per remapping sheet",143,change_decomposition.txt,OK
appendix B,"methodology, deduplicated, share",1.1%,change_decomposition.txt,OK
appendix B,"methodology, imputed share moved, share",0.4%,change_decomposition.txt,OK
appendix B,methodology total,"2,039",change_decomposition.txt,OK
appendix B,"methodology total, share",16.0%,change_decomposition.txt,OK
appendix B,total apparent change,"12,717",change_decomposition.txt,OK
appendix B,unchanged edges,"14,017",change_decomposition.txt,OK
appendix B,entities on the remapping sheet,"4,196",change_decomposition.txt,OK
appendix B,share of lost entities the remapping sheet accounts for,11.5%,change_decomposition.txt,OK
appendix B,edges present in both releases,"16,954",change_decomposition.txt,OK
appendix B,real churn over eighteen months,5.2%,change_decomposition.txt,OK
appendix B,ceiling on genuine corporate events,881,change_decomposition.txt,OK
appendix B,"edges GEM flags as imputed, Aug 2026","4,392",exposure_proxy_summary.txt,OK
appendix B,"edges GEM flags as imputed, share",17.7%,exposure_proxy_summary.txt,OK
"appendix B, held",release files carrying presigned source citations,17 of 17,presigned_source_urls.txt,OK
"appendix B, held","shortest declared expiry, seconds",60 seconds,presigned_source_urls.txt,OK
"appendix B, held",release files checked for presigned citations,release files carrying ownership sheets: 17,presigned_source_urls.txt,OK
portfolio,panel firms with exposure in August 2026,188 of 328,panel_join_summary.txt,OK
